Pixel_Index,Ru,Rh,Pd,Ir,Pt
118,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
119,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
120,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
121,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
122,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
123,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
124,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
125,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
126,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
127,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
128,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
129,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
130,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
131,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
132,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
133,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
134,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
135,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
136,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
137,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
138,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
139,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
140,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
141,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
142,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
143,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
144,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
145,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
146,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
147,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
148,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
149,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
150,0.1953125,0.19921875,0.203125,0.1953125,0.20703125
151,0.1953125,0.19921875,0.203125,0.1953125,0.20703125
152,0.1953125,0.19921875,0.203125,0.1953125,0.20703125
153,0.1953125,0.19921875,0.203125,0.1953125,0.20703125
154,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
155,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
156,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
157,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
158,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
159,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
160,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
161,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
162,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
163,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
164,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
165,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
166,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
