Local_Index,Global_Index,Ru,Rh,Pd,Ir,Pt
639,824,0.138671875,0.2109375,0.1796875,0.130859375,0.33984375
640,825,0.16015625,0.205078125,0.201171875,0.140625,0.29296875
641,826,0.171875,0.193359375,0.2265625,0.162109375,0.24609375
642,827,0.177734375,0.181640625,0.224609375,0.18359375,0.232421875
643,828,0.169921875,0.1640625,0.23046875,0.19921875,0.236328125
644,829,0.13671875,0.140625,0.25390625,0.208984375,0.259765625
645,830,0.07421875,0.126953125,0.296875,0.1953125,0.306640625
646,831,0.021484375,0.12890625,0.361328125,0.12109375,0.3671875
647,832,0.01171875,0.14453125,0.404296875,0.029296875,0.41015625
648,833,0.01171875,0.17578125,0.40234375,0.0,0.41015625
649,834,0.0234375,0.216796875,0.376953125,0.0,0.3828125
650,835,0.0859375,0.2421875,0.3203125,0.0234375,0.328125
651,836,0.15234375,0.232421875,0.259765625,0.08984375,0.265625
652,837,0.1796875,0.212890625,0.224609375,0.15234375,0.23046875
653,838,0.1875,0.205078125,0.2109375,0.181640625,0.21484375
654,839,0.19140625,0.201171875,0.205078125,0.19140625,0.2109375
655,840,0.193359375,0.201171875,0.203125,0.193359375,0.208984375
672,867,0.193359375,0.193359375,0.205078125,0.197265625,0.2109375
673,868,0.189453125,0.185546875,0.2109375,0.201171875,0.212890625
674,869,0.181640625,0.166015625,0.220703125,0.205078125,0.2265625
675,870,0.16015625,0.138671875,0.2421875,0.208984375,0.25
676,871,0.107421875,0.123046875,0.28515625,0.1953125,0.2890625
677,872,0.056640625,0.123046875,0.345703125,0.12109375,0.353515625
678,873,0.025390625,0.140625,0.3984375,0.03125,0.404296875
679,874,0.0234375,0.171875,0.3984375,0.0,0.40625
680,875,0.05859375,0.20703125,0.365234375,0.0,0.369140625
681,876,0.11328125,0.2265625,0.314453125,0.0234375,0.322265625
682,877,0.166015625,0.216796875,0.259765625,0.08984375,0.267578125
683,878,0.181640625,0.1953125,0.23046875,0.154296875,0.23828125
684,879,0.18359375,0.177734375,0.22265625,0.1875,0.228515625
685,880,0.18359375,0.154296875,0.2265625,0.205078125,0.23046875
686,881,0.177734375,0.134765625,0.23828125,0.212890625,0.236328125
687,882,0.17578125,0.134765625,0.255859375,0.224609375,0.208984375
688,883,0.1875,0.16015625,0.2265625,0.2421875,0.18359375
689,884,0.201171875,0.197265625,0.166015625,0.23828125,0.197265625
690,885,0.201171875,0.208984375,0.146484375,0.208984375,0.234375
691,886,0.189453125,0.19921875,0.177734375,0.1875,0.24609375
692,887,0.18359375,0.189453125,0.212890625,0.18359375,0.23046875
693,888,0.18359375,0.17578125,0.220703125,0.193359375,0.2265625
694,889,0.1796875,0.15234375,0.228515625,0.203125,0.236328125
695,890,0.158203125,0.123046875,0.251953125,0.20703125,0.259765625
696,891,0.10546875,0.103515625,0.294921875,0.19140625,0.3046875
697,892,0.056640625,0.09765625,0.361328125,0.1171875,0.3671875
698,893,0.025390625,0.11328125,0.408203125,0.02734375,0.42578125
699,894,0.02734375,0.154296875,0.392578125,0.0,0.42578125
700,895,0.0625,0.197265625,0.35546875,0.0,0.384765625
701,896,0.119140625,0.224609375,0.30859375,0.0234375,0.32421875
702,897,0.169921875,0.22265625,0.255859375,0.08984375,0.26171875
703,898,0.18359375,0.2109375,0.22265625,0.15234375,0.23046875
704,899,0.1875,0.205078125,0.2109375,0.181640625,0.21484375
705,900,0.19140625,0.201171875,0.205078125,0.19140625,0.2109375
706,901,0.193359375,0.201171875,0.203125,0.193359375,0.208984375
